condsFile,readyMSG,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,blanc.started,blanc.stopped,textbox.stopped,session,participant,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,shapes,vertical.png,circle.png,vertical.png,1,0,0,0,0,0,0,0,2,10.100870084000235,12.561434292000285,12.561434292000285,12.561434292000285,16.601194416999988,16.601194416999988,16.601194416999988,,,,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,vertical.png,orizontal.png,1,0,0,0,0,0,1,1,10,,17.05831441700002,17.05831441700002,17.05831441700002,21.085109667000324,21.085109667000324,21.085109667000324,,,,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,orizontal.png,2,0,0,0,0,0,2,2,1,,21.55987204200028,21.55987204200028,21.55987204200028,25.592111834000207,25.592111834000207,25.592111834000207,,,,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,orizontal.png,circle.png,circle.png,2,0,0,0,0,0,3,3,9,,26.058427875000234,26.058427875000234,26.058427875000234,30.08925491700029,30.08925491700029,30.08925491700029,,,,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,vertical.png,orizontal.png,vertical.png,1,0,0,0,0,0,4,4,0,,30.559523709000132,30.559523709000132,30.559523709000132,34.58331966700007,34.58331966700007,34.58331966700007,,,,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,orizontal.png,orizontal.png,2,0,0,0,0,0,5,5,7,,35.05886387500004,35.05886387500004,35.05886387500004,39.088427375000265,39.088427375000265,39.088427375000265,,,,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,shapes,circle.png,vertical.png,vertical.png,2,0,0,0,0,0,6,6,5,,39.5598144999999,39.5598144999999,39.5598144999999,43.555651000000125,43.555651000000125,43.555651000000125,,,,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
Neutral.xlsx,Comparez les visages,Neutral,F06NE.png,F13NE.png,F13NE.png,2,0,1,1,1,0,0,0,0,47.57798483400029,50.07231208400026,50.07231208400026,50.07231208400026,54.059722584000156,54.059722584000156,54.059722584000156,43.56192624999994,47.57798483400029,49.624119042000075,001,,2023-04-11_11h36.11.584,blockedTrials,2022.2.5,None,
,,,,,,,,,,,,,,,58.063500917000056,,,,,,,54.059722584000156,58.055573042000105,,,,,,,,
