25.6831 	EXP 	New trial (rep=0, index=3): {'condition': 'shapes', 'stimuli_left': 'vertical.png', 'stimuli_right': 'circle.png', 'target': 'vertical.png', 'correct_answer': 1}
25.7264 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
25.7263 	EXP 	left_stimuli: autoDraw = False
25.7263 	EXP 	right_stimuli: autoDraw = False
25.7263 	EXP 	target_stim: autoDraw = False
25.7263 	EXP 	left_stimuli: autoDraw = False
25.7263 	EXP 	right_stimuli: autoDraw = False
25.7263 	EXP 	target_stim: autoDraw = False
25.7263 	EXP 	left_stimuli: image = 'vertical.png'
25.7263 	EXP 	right_stimuli: image = 'circle.png'
25.7263 	EXP 	target_stim: image = 'vertical.png'
26.1870 	EXP 	left_stimuli: autoDraw = True
26.1870 	EXP 	right_stimuli: autoDraw = True
26.1870 	EXP 	target_stim: autoDraw = True
30.1715 	EXP 	New trial (rep=0, index=4): {'condition': 'shapes', 'stimuli_left': 'orizontal.png', 'stimuli_right': 'circle.png', 'target': 'circle.png', 'correct_answer': 2}
30.2143 	EXP 	left_stimuli: autoDraw = False
30.2143 	EXP 	right_stimuli: autoDraw = False
30.2143 	EXP 	target_stim: autoDraw = False
30.2143 	EXP 	left_stimuli: autoDraw = False
30.2143 	EXP 	right_stimuli: autoDraw = False
30.2143 	EXP 	target_stim: autoDraw = False
30.2143 	EXP 	left_stimuli: image = 'orizontal.png'
30.2143 	EXP 	right_stimuli: image = 'circle.png'
30.2143 	EXP 	target_stim: image = 'circle.png'
30.6866 	EXP 	left_stimuli: autoDraw = True
30.6866 	EXP 	right_stimuli: autoDraw = True
30.6866 	EXP 	target_stim: autoDraw = True
34.6832 	EXP 	New trial (rep=0, index=5): {'condition': 'shapes', 'stimuli_left': 'vertical.png', 'stimuli_right': 'orizontal.png', 'target': 'vertical.png', 'correct_answer': 1}
34.7268 	EXP 	left_stimuli: autoDraw = False
34.7268 	EXP 	right_stimuli: autoDraw = False
34.7268 	EXP 	target_stim: autoDraw = False
34.7268 	EXP 	left_stimuli: autoDraw = False
34.7268 	EXP 	right_stimuli: autoDraw = False
34.7268 	EXP 	target_stim: autoDraw = False
34.7268 	EXP 	left_stimuli: image = 'vertical.png'
34.7268 	EXP 	right_stimuli: image = 'orizontal.png'
34.7268 	EXP 	target_stim: image = 'vertical.png'
35.1863 	EXP 	left_stimuli: autoDraw = True
35.1863 	EXP 	right_stimuli: autoDraw = True
35.1863 	EXP 	target_stim: autoDraw = True
39.1716 	EXP 	New trial (rep=0, index=6): {'condition': 'shapes', 'stimuli_left': 'circle.png', 'stimuli_right': 'vertical.png', 'target': 'circle.png', 'correct_answer': 1}
39.2181 	EXP 	left_stimuli: autoDraw = False
39.2181 	EXP 	right_stimuli: autoDraw = False
39.2181 	EXP 	target_stim: autoDraw = False
39.2181 	EXP 	left_stimuli: autoDraw = False
39.2181 	EXP 	right_stimuli: autoDraw = False
39.2181 	EXP 	target_stim: autoDraw = False
39.2181 	EXP 	left_stimuli: image = 'circle.png'
39.2181 	EXP 	right_stimuli: image = 'vertical.png'
39.2181 	EXP 	target_stim: image = 'circle.png'
39.6869 	EXP 	left_stimuli: autoDraw = True
39.6869 	EXP 	right_stimuli: autoDraw = True
39.6869 	EXP 	target_stim: autoDraw = True
43.6701 	EXP 	New trial (rep=0, index=7): {'condition': 'shapes', 'stimuli_left': 'orizontal.png', 'stimuli_right': 'circle.png', 'target': 'orizontal.png', 'correct_answer': 1}
43.7120 	EXP 	left_stimuli: autoDraw = False
43.7120 	EXP 	right_stimuli: autoDraw = False
43.7120 	EXP 	target_stim: autoDraw = False
43.7120 	EXP 	left_stimuli: autoDraw = False
43.7120 	EXP 	right_stimuli: autoDraw = False
43.7120 	EXP 	target_stim: autoDraw = False
43.7120 	EXP 	left_stimuli: image = 'orizontal.png'
43.7120 	EXP 	right_stimuli: image = 'circle.png'
43.7120 	EXP 	target_stim: image = 'orizontal.png'
44.1870 	EXP 	left_stimuli: autoDraw = True
44.1870 	EXP 	right_stimuli: autoDraw = True
44.1870 	EXP 	target_stim: autoDraw = True
48.1830 	EXP 	New trial (rep=0, index=8): {'condition': 'shapes', 'stimuli_left': 'circle.png', 'stimuli_right': 'vertical.png', 'target': 'vertical.png', 'correct_answer': 2}
48.2302 	EXP 	left_stimuli: autoDraw = False
48.2302 	EXP 	right_stimuli: autoDraw = False
48.2302 	EXP 	target_stim: autoDraw = False
48.2302 	EXP 	left_stimuli: autoDraw = False
48.2302 	EXP 	right_stimuli: autoDraw = False
48.2302 	EXP 	target_stim: autoDraw = False
48.2302 	EXP 	left_stimuli: image = 'circle.png'
48.2302 	EXP 	right_stimuli: image = 'vertical.png'
48.2302 	EXP 	target_stim: image = 'vertical.png'
48.6861 	EXP 	left_stimuli: autoDraw = True
48.6861 	EXP 	right_stimuli: autoDraw = True
48.6861 	EXP 	target_stim: autoDraw = True
52.6703 	EXP 	New trial (rep=0, index=9): {'condition': 'shapes', 'stimuli_left': 'circle.png', 'stimuli_right': 'orizontal.png', 'target': 'circle.png', 'correct_answer': 1}
52.7123 	EXP 	left_stimuli: autoDraw = False
52.7123 	EXP 	right_stimuli: autoDraw = False
52.7123 	EXP 	target_stim: autoDraw = False
52.7123 	EXP 	left_stimuli: autoDraw = False
52.7123 	EXP 	right_stimuli: autoDraw = False
52.7123 	EXP 	target_stim: autoDraw = False
52.7123 	EXP 	left_stimuli: image = 'circle.png'
52.7123 	EXP 	right_stimuli: image = 'orizontal.png'
52.7123 	EXP 	target_stim: image = 'circle.png'
53.1872 	EXP 	left_stimuli: autoDraw = True
53.1872 	EXP 	right_stimuli: autoDraw = True
53.1872 	EXP 	target_stim: autoDraw = True
57.1837 	EXP 	New trial (rep=0, index=10): {'condition': 'shapes', 'stimuli_left': 'orizontal.png', 'stimuli_right': 'vertical.png', 'target': 'orizontal.png', 'correct_answer': 1}
57.2267 	EXP 	left_stimuli: autoDraw = False
57.2267 	EXP 	right_stimuli: autoDraw = False
57.2267 	EXP 	target_stim: autoDraw = False
57.2267 	EXP 	left_stimuli: autoDraw = False
57.2267 	EXP 	right_stimuli: autoDraw = False
57.2267 	EXP 	target_stim: autoDraw = False
57.2267 	EXP 	left_stimuli: image = 'orizontal.png'
57.2267 	EXP 	right_stimuli: image = 'vertical.png'
57.2267 	EXP 	target_stim: image = 'orizontal.png'
57.6862 	EXP 	left_stimuli: autoDraw = True
57.6862 	EXP 	right_stimuli: autoDraw = True
57.6862 	EXP 	target_stim: autoDraw = True
61.6698 	EXP 	New trial (rep=0, index=11): {'condition': 'shapes', 'stimuli_left': 'vertical.png', 'stimuli_right': 'orizontal.png', 'target': 'orizontal.png', 'correct_answer': 2}
61.7108 	EXP 	left_stimuli: autoDraw = False
61.7108 	EXP 	right_stimuli: autoDraw = False
61.7108 	EXP 	target_stim: autoDraw = False
61.7108 	EXP 	left_stimuli: autoDraw = False
61.7108 	EXP 	right_stimuli: autoDraw = False
61.7108 	EXP 	target_stim: autoDraw = False
61.7108 	EXP 	left_stimuli: image = 'vertical.png'
61.7108 	EXP 	right_stimuli: image = 'orizontal.png'
61.7108 	EXP 	target_stim: image = 'orizontal.png'
62.1861 	EXP 	left_stimuli: autoDraw = True
62.1861 	EXP 	right_stimuli: autoDraw = True
62.1861 	EXP 	target_stim: autoDraw = True
66.1818 	EXP 	left_stimuli: autoDraw = False
66.1818 	EXP 	right_stimuli: autoDraw = False
66.1818 	EXP 	target_stim: autoDraw = False
66.1818 	EXP 	left_stimuli: autoDraw = False
66.1818 	EXP 	right_stimuli: autoDraw = False
66.1818 	EXP 	target_stim: autoDraw = False
66.1895 	EXP 	blanc: autoDraw = True
70.1829 	EXP 	New trial (rep=0, index=1): {'condsFile': 'Neutral.xlsx', 'readyMSG': 'Comparez les visages'}
70.2061 	EXP 	blanc: autoDraw = False
70.2061 	EXP 	blanc: autoDraw = False
70.2061 	EXP 	textbox: autoDraw = True
72.2088 	EXP 	Imported Neutral.xlsx as conditions, 6 conditions, 5 params
72.2095 	EXP 	Created sequence: random, trialTypes=6, nReps=1, seed=None
72.2099 	EXP 	New trial (rep=0, index=0): {'condition': 'Neutral', 'stimuli_left': 'F07NE.png', 'stimuli_right': 'F29NE.png', 'target': 'F07NE.png', 'correct_answer': 1}
72.2485 	EXP 	textbox: autoDraw = False
72.2485 	EXP 	left_stimuli: image = 'F07NE.png'
72.2485 	EXP 	right_stimuli: image = 'F29NE.png'
72.2485 	EXP 	target_stim: image = 'F07NE.png'
72.6859 	EXP 	left_stimuli: autoDraw = True
72.6859 	EXP 	right_stimuli: autoDraw = True
72.6859 	EXP 	target_stim: autoDraw = True
76.6701 	EXP 	New trial (rep=0, index=1): {'condition': 'Neutral', 'stimuli_left': 'M10NE.png', 'stimuli_right': 'M11NE.png', 'target': 'M10NE.png', 'correct_answer': 1}
76.7191 	EXP 	left_stimuli: autoDraw = False
76.7191 	EXP 	right_stimuli: autoDraw = False
76.7191 	EXP 	target_stim: autoDraw = False
76.7191 	EXP 	left_stimuli: autoDraw = False
76.7191 	EXP 	right_stimuli: autoDraw = False
76.7191 	EXP 	target_stim: autoDraw = False
76.7191 	EXP 	left_stimuli: image = 'M10NE.png'
76.7191 	EXP 	right_stimuli: image = 'M11NE.png'
76.7191 	EXP 	target_stim: image = 'M10NE.png'
77.1868 	EXP 	left_stimuli: autoDraw = True
77.1868 	EXP 	right_stimuli: autoDraw = True
77.1868 	EXP 	target_stim: autoDraw = True
81.1831 	EXP 	New trial (rep=0, index=2): {'condition': 'Neutral', 'stimuli_left': 'M13NE.png', 'stimuli_right': 'M07NE.png', 'target': 'M07NE.png', 'correct_answer': 2}
81.2314 	EXP 	left_stimuli: autoDraw = False
81.2314 	EXP 	right_stimuli: autoDraw = False
81.2314 	EXP 	target_stim: autoDraw = False
81.2314 	EXP 	left_stimuli: autoDraw = False
81.2314 	EXP 	right_stimuli: autoDraw = False
81.2314 	EXP 	target_stim: autoDraw = False
81.2314 	EXP 	left_stimuli: image = 'M13NE.png'
81.2314 	EXP 	right_stimuli: image = 'M07NE.png'
81.2314 	EXP 	target_stim: image = 'M07NE.png'
81.6867 	EXP 	left_stimuli: autoDraw = True
81.6867 	EXP 	right_stimuli: autoDraw = True
81.6867 	EXP 	target_stim: autoDraw = True
85.6714 	EXP 	New trial (rep=0, index=3): {'condition': 'Neutral', 'stimuli_left': 'F06NE.png', 'stimuli_right': 'F13NE.png', 'target': 'F13NE.png', 'correct_answer': 2}
85.7199 	EXP 	left_stimuli: autoDraw = False
85.7199 	EXP 	right_stimuli: autoDraw = False
85.7199 	EXP 	target_stim: autoDraw = False
85.7199 	EXP 	left_stimuli: autoDraw = False
85.7199 	EXP 	right_stimuli: autoDraw = False
85.7199 	EXP 	target_stim: autoDraw = False
85.7199 	EXP 	left_stimuli: image = 'F06NE.png'
85.7199 	EXP 	right_stimuli: image = 'F13NE.png'
85.7199 	EXP 	target_stim: image = 'F13NE.png'
86.1866 	EXP 	left_stimuli: autoDraw = True
86.1866 	EXP 	right_stimuli: autoDraw = True
86.1866 	EXP 	target_stim: autoDraw = True
90.1703 	EXP 	New trial (rep=0, index=4): {'condition': 'Neutral', 'stimuli_left': 'M01NE.png', 'stimuli_right': 'M31NE.png', 'target': 'M01NE.png', 'correct_answer': 1}
90.2193 	EXP 	left_stimuli: autoDraw = False
90.2193 	EXP 	right_stimuli: autoDraw = False
90.2193 	EXP 	target_stim: autoDraw = False
90.2193 	EXP 	left_stimuli: autoDraw = False
90.2193 	EXP 	right_stimuli: autoDraw = False
90.2193 	EXP 	target_stim: autoDraw = False
90.2193 	EXP 	left_stimuli: image = 'M01NE.png'
90.2193 	EXP 	right_stimuli: image = 'M31NE.png'
90.2193 	EXP 	target_stim: image = 'M01NE.png'
90.6818 	EXP 	left_stimuli: autoDraw = True
90.6818 	EXP 	right_stimuli: autoDraw = True
90.6818 	EXP 	target_stim: autoDraw = True
94.6663 	EXP 	New trial (rep=0, index=5): {'condition': 'Neutral', 'stimuli_left': 'F05NE.png', 'stimuli_right': 'F19NE.png', 'target': 'F19NE.png', 'correct_answer': 2}
94.7153 	EXP 	left_stimuli: autoDraw = False
94.7153 	EXP 	right_stimuli: autoDraw = False
94.7153 	EXP 	target_stim: autoDraw = False
94.7153 	EXP 	left_stimuli: autoDraw = False
94.7153 	EXP 	right_stimuli: autoDraw = False
94.7153 	EXP 	target_stim: autoDraw = False
94.7153 	EXP 	left_stimuli: image = 'F05NE.png'
94.7153 	EXP 	right_stimuli: image = 'F19NE.png'
94.7153 	EXP 	target_stim: image = 'F19NE.png'
95.1857 	EXP 	left_stimuli: autoDraw = True
95.1857 	EXP 	right_stimuli: autoDraw = True
95.1857 	EXP 	target_stim: autoDraw = True
99.1819 	EXP 	left_stimuli: autoDraw = False
99.1819 	EXP 	right_stimuli: autoDraw = False
99.1819 	EXP 	target_stim: autoDraw = False
99.1819 	EXP 	left_stimuli: autoDraw = False
99.1819 	EXP 	right_stimuli: autoDraw = False
99.1819 	EXP 	target_stim: autoDraw = False
99.1858 	EXP 	blanc: autoDraw = True
