condsFile,readyMSG,jitter,condition,stimuli_left,stimuli_right,target,correct_answer,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,textbox.started,left_stimuli.started,right_stimuli.started,target_stim.started,key_resp.started,left_stimuli.stopped,right_stimuli.stopped,target_stim.stopped,key_resp.stopped,key_resp.keys,key_resp.corr,key_resp.rt,fix_cross.started,fix_cross.stopped,textbox.stopped,session,participant,group,date,expName,psychopyVersion,frameRate,
shapes.xlsx,Comparez les formes,3,shapes,circle.png,vertical.png,circle.png,1,0,0,0,0,0,0,0,4,11.16300620800007,13.621906041000102,13.621906041000102,13.621906041000102,13.621906041000102,17.701558541000168,17.701558541000168,17.701558541000168,17.701558541000168,None,0,,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,vertical.png,orizontal.png,1,0,0,0,0,0,1,1,10,,18.120185625000204,18.120185625000204,18.120185625000204,18.120185625000204,22.207228416000135,22.207228416000135,22.207228416000135,22.207228416000135,None,0,,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,vertical.png,vertical.png,2,0,0,0,0,0,2,2,11,,22.61997737500019,22.61997737500019,22.61997737500019,22.61997737500019,26.704771583000138,26.704771583000138,26.704771583000138,26.704771583000138,None,0,,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,vertical.png,circle.png,vertical.png,1,0,0,0,0,0,3,3,2,,27.12007408300019,27.12007408300019,27.12007408300019,27.12007408300019,31.212617791000184,31.212617791000184,31.212617791000184,31.212617791000184,left,0,2.2219241669999974,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,orizontal.png,circle.png,circle.png,2,0,0,0,0,0,4,4,9,,31.621756457999936,31.621756457999936,31.621756457999936,31.621756457999936,35.70304575000023,35.70304575000023,35.70304575000023,35.70304575000023,right,0,1.2300171670001419,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,3,shapes,vertical.png,circle.png,circle.png,2,0,0,0,0,0,5,5,3,,36.120228416000145,36.120228416000145,36.120228416000145,36.120228416000145,40.11562370800016,40.11562370800016,40.11562370800016,40.11562370800016,right,0,3.682805000000144,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,6,Surprised,F32SU.png,F22SU.png,F32SU.png,1,0,1,1,1,0,0,0,5,43.143615958000055,45.605075540999906,45.605075540999906,45.605075540999906,45.605075540999906,49.63933408300022,49.63933408300022,49.63933408300022,49.63933408300022,left,0,3.356729542000039,40.124054749999914,43.143615958000055,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,6,Surprised,F13SU.png,F24SU.png,F24SU.png,2,0,1,1,1,0,1,1,2,,50.11545587500018,50.11545587500018,50.11545587500018,50.11545587500018,54.150375833000226,54.150375833000226,54.150375833000226,54.150375833000226,right,0,1.938107374999845,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,6,Surprised,F01SU.png,F35SU.png,F35SU.png,2,0,1,1,1,0,2,2,4,,54.60474295800009,54.60474295800009,54.60474295800009,54.60474295800009,58.63873699999999,58.63873699999999,58.63873699999999,58.63873699999999,right,0,1.5321195419999185,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,6,Surprised,M01SU.png,M16SU.png,M16SU.png,2,0,1,1,1,0,3,3,3,,59.115514833000134,59.115514833000134,59.115514833000134,59.115514833000134,63.149327416000006,63.149327416000006,63.149327416000006,63.149327416000006,right,0,3.7942181250002704,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,6,Surprised,M09SU.png,M35SU.png,M09SU.png,1,0,1,1,1,0,4,4,0,,63.60386587500011,63.60386587500011,63.60386587500011,63.60386587500011,67.63865704100022,67.63865704100022,67.63865704100022,67.63865704100022,left,0,3.5929359999997814,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
Surprised.xlsx,Comparez les visages,6,Surprised,M28SU.png,M11SU.png,M28SU.png,1,0,1,1,1,0,5,5,1,,68.115280708,68.115280708,68.115280708,68.115280708,72.1062950410003,72.1062950410003,72.1062950410003,72.1062950410003,left,0,1.8316568329998972,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,4,shapes,circle.png,vertical.png,vertical.png,2,0,2,2,2,0,0,0,5,78.11249916600013,80.58900829100025,80.58900829100025,80.58900829100025,80.58900829100025,84.67030904100034,84.67030904100034,84.67030904100034,84.67030904100034,right,0,1.380239040999868,72.1062950410003,78.11249916600013,80.19606700000008,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
shapes.xlsx,Comparez les formes,4,shapes,vertical.png,orizontal.png,vertical.png,1,0,2,2,2,0,1,1,0,,85.09873991600011,85.09873991600011,85.09873991600011,85.09873991600011,89.2003668750001,89.2003668750001,89.2003668750001,89.2003668750001,left,0,1.2806090829997174,,,,001,,C,2023-04-12_10h33.15.545,blockedTrials,2022.2.5,None,
